year,temperature,population,co2,co2_per_capita,coal_co2,coal_co2_per_capita,cumulative_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,share_global_co2,share_global_coal_co2,share_global_cumulative_co2,share_global_cumulative_coal_co2,co2_growth_abs,co2_growth_prct,gdp,co2_per_gdp,co2_including_luc,co2_including_luc_per_capita,co2_including_luc_per_gdp,cumulative_co2_including_luc,cumulative_luc_co2,land_use_change_co2,land_use_change_co2_per_capita,share_global_co2_including_luc,share_global_cumulative_co2_including_luc,share_global_cumulative_luc_co2,share_global_luc_co2,co2_including_luc_growth_abs,co2_including_luc_growth_prct,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,share_global_cumulative_oil_co2,share_global_oil_co2,cement_co2,cement_co2_per_capita,cumulative_cement_co2,share_global_cement_co2,share_global_cumulative_cement_co2,share_global_cumulative_gas_co2,share_global_gas_co2,cumulative_other_co2,other_co2_per_capita,other_industry_co2,share_global_cumulative_other_co2,share_global_other_co2,share_global_cumulative_flaring_co2,share_global_flaring_co2,co2_including_luc_per_unit_energy,co2_per_unit_energy,energy_per_capita,energy_per_gdp,primary_energy_consumption,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,ghg_excluding_lucf_per_capita,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
1850,-0.2,23599506,-99.9,0.8387009501457214,19.79292869567871,0.8387009501457214,189.9747314453125,189.9747314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05247688293457,10.05247688293457,3.9915566444396973,3.9915566444396973,1.5718560218811035,8.626580238342285,85638316032.0,0.23112234473228455,785.5322875976562,33.28596496582031,9.172673225402832,785.5322875976562,765.7393798828125,765.7393798828125,32.447261810302734,29.963747024536133,29.963747024536133,31.58062171936035,31.58062171936035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,-0.09,24334712,24.633071899414062,1.0122606754302979,24.633071899414062,1.0122606754302979,214.60780334472656,214.60780334472656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.390571594238281,12.390571594238281,4.328323841094971,4.328323841094971,4.840144157409668,24.453903198242188,92211322880.0,0.26713716983795166,852.6970825195312,35.04035949707031,9.24720573425293,1638.2293701171875,1593.8033447265625,828.0640258789062,34.028099060058594,31.44230079650879,30.715547561645508,32.27727127075195,32.94941329956055,67.16480255126953,8.550226211547852,25.007673263549805,6.978498277021572e-05,0.000349491456290707,0.00043387056211940944,1.4594124877476133e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,0.0,25092277,26.791168212890625,1.067705750465393,26.791168212890625,1.067705750465393,241.3989715576172,241.3989715576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.90823745727539,12.90823745727539,4.673048496246338,4.673048496246338,2.1580960750579834,8.760965347290039,100197810176.0,0.26738277077674866,884.7167358398438,35.25852584838867,8.82970142364502,2522.946044921875,2451.72900390625,857.925537109375,34.19082260131836,32.07180404663086,31.177886962890625,32.7383918762207,33.63096237182617,32.019649505615234,3.7551045417785645,25.1649112701416,0.00014149419439490885,0.0007075887406244874,0.0008785097161307931,2.9426739274640568e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,-0.12,25872879,30.16204833984375,1.1657785177230835,30.16204833984375,1.1657785177230835,271.56103515625,271.56103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.886171340942383,13.886171340942383,5.044808387756348,5.044808387756348,3.370879888534546,12.582052230834961,110970552320.0,0.27180224657058716,934.3639526367188,36.113643646240234,8.419927597045898,3457.310302734375,3355.930908203125,904.201904296875,34.94786834716797,33.06624984741211,31.666627883911133,33.235679626464844,34.66335678100586,49.64723205566406,5.611658096313477,25.450613021850586,0.00021549842495005578,0.0010834840359166265,0.001343472278676927,4.448983236216009e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,-0.08,26677755,33.15919876098633,1.2429530620574951,33.15919876098633,1.2429530620574951,304.72021484375,304.72021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9965238571167,12.9965238571167,5.404643535614014,5.404643535614014,2.99714994430542,9.936820983886719,114357379072.0,0.28996115922927856,965.0975952148438,36.176116943359375,8.439311981201172,4422.40771484375,4287.86962890625,931.9384155273438,34.93316650390625,33.440513610839844,32.037498474121094,33.68782424926758,35.42314910888672,30.733631134033203,3.2892584800720215,25.63411521911621,0.00029189797351136804,0.001469578593969345,0.0018212487921118736,5.977233740850352e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,-0.13,27507660,38.160560607910156,1.3872703313827515,38.160560607910156,1.3872703313827515,342.8807678222656,342.8807678222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.66777515411377,14.669841766357422,5.813228130340576,5.8132643699646,5.001361846923828,15.082883834838867,115306487808.0,0.33094894886016846,987.7228393554688,35.90719223022461,8.566064834594727,5410.13037109375,5237.43115234375,949.562255859375,34.519920349121094,34.01265335083008,32.380802154541016,34.07109069824219,35.91629409790039,22.625215530395508,2.344346046447754,25.835556030273438,0.0003709637385327369,0.0018631062703207135,0.002309330040588975,7.526011177105829e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,-0.12,28363372,40.036529541015625,1.4115574359893799,40.036529541015625,1.4115574359893799,382.91729736328125,382.91729736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.438425064086914,14.440523147583008,6.2005109786987305,6.200588703155518,1.8759679794311523,4.915988445281982,121205907456.0,0.33031830191612244,1008.6514892578125,35.561763763427734,8.321802139282227,6418.7822265625,6206.046875,968.614990234375,34.150203704833984,34.15273666381836,32.646968841552734,34.38609313964844,36.19551467895508,20.92870330810547,2.1188855171203613,26.006914138793945,0.00045198897714726627,0.002264117356389761,0.0028070423286408186,9.093597327591851e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,-0.34,29245692,41.055118560791016,1.4038006067276,41.055118560791016,1.4038006067276,423.972412109375,423.972412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.668342590332031,14.671030044555664,6.567649841308594,6.5677809715271,1.0185920000076294,2.5441527366638184,122030284800.0,0.33643388748168945,1034.9884033203125,35.38943099975586,8.481405258178711,7453.77001953125,7199.9794921875,993.9332275390625,33.98563003540039,34.733848571777344,32.92162322998047,34.7020263671875,36.813987731933594,26.33683204650879,2.611088752746582,26.20461082458496,0.000534790800884366,0.002675679512321949,0.0033172499388456345,0.00010677966201910749,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,-0.21,30155449,41.64868927001953,1.3811330795288086,41.64868927001953,1.3811330795288086,465.6211242675781,465.6211242675781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.656190872192383,14.659403800964355,6.908697128295898,6.908892631530762,0.5935680270195007,1.44578218460083,126084341760.0,0.33032405376434326,1063.28173828125,35.2600212097168,8.433099746704102,8517.052734375,8221.61328125,1021.633056640625,33.87888717651367,35.26125717163086,33.19660568237305,35.01646423339844,37.405086517333984,28.293439865112305,2.7336955070495605,26.42395782470703,0.0006194932502694428,0.003099119756370783,0.0038413808215409517,0.00012276785855647177,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,-0.09,31050019,45.32001495361328,1.459580898284912,45.32001495361328,1.459580898284912,510.9411315917969,510.9411315917969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.040911674499512,15.043654441833496,7.256708145141602,7.256961345672607,3.671328067779541,8.814990997314453,133003075584.0,0.34074410796165466,1096.851318359375,35.32530212402344,8.246811866760254,9613.904296875,9273.14453125,1051.5313720703125,33.86572265625,35.8198127746582,33.4763069152832,35.3395881652832,38.087589263916016,33.56953430175781,3.157162666320801,26.656770706176758,0.0007066760445013642,0.003537154523655772,0.004382704850286245,0.0001388741802657023,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,-0.15,31927846,47.437808990478516,1.4857816696166992,47.236270904541016,1.4794694185256958,558.3789672851562,558.1774291992188,0.0,0.0,0.20153599977493286,0.0,0.0,0.0,0.0,0.20153599977493286,0.006312232930213213,14.347212791442871,14.29808521270752,7.574741840362549,7.572541236877441,2.1177918910980225,4.67296838760376,140151914496.0,0.33847421407699585,986.5942993164062,30.900747299194336,7.039463520050049,10600.498046875,10212.30078125,939.156494140625,29.41496467590332,33.102237701416016,33.441139221191406,35.34902572631836,35.44247817993164,-110.25702667236328,-10.052138328552246,26.85171127319336,0.000796052161604166,0.003966638818383217,0.004917760379612446,0.00015506919589824975,38.834442138671875,73.69341278076172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,-0.24,32787298,45.6790885925293,1.3931946754455566,44.81804656982422,1.3669332265853882,604.0580444335938,602.9954833984375,0.0,0.0,1.0625760555267334,0.0,0.0,0.0,0.0,0.8610399961471558,0.02626138925552368,13.13619613647461,12.923555374145508,7.825270652770996,7.812983512878418,-1.75872004032135,-3.707420825958252,140904349696.0,0.3241850733757019,900.5635986328125,27.466842651367188,6.3913116455078125,11501.0615234375,11067.185546875,854.8844604492188,26.07364845275879,31.351490020751953,33.26750946044922,35.22937774658203,33.86029815673828,-86.03072357177734,-8.719968795776367,26.936464309692383,0.0008846481214277446,0.004369860980659723,0.00542584341019392,0.0001713343954179436,72.77947998046875,91.49954223632812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,-0.34,33626668,47.44879913330078,1.4110467433929443,46.19947052001953,1.3738938570022583,651.5068359375,649.1949462890625,0.0,0.0,2.311903953552246,0.0,0.0,0.0,0.0,1.2493280172348022,0.03715289384126663,13.401471138000488,13.100360870361328,8.06981372833252,8.044026374816895,1.769711971282959,3.87423038482666,149041971200.0,0.3183586597442627,889.1063232421875,26.44051170349121,5.965476036071777,12390.16796875,11908.8427734375,841.657470703125,25.029464721679688,31.101037979125977,33.102046966552734,35.109283447265625,33.60298538208008,-11.457280158996582,-1.2722373008728027,27.036916732788086,0.0009732295875437558,0.004777746740728617,0.005938641261309385,0.00018766506400424987,80.87344360351562,89.32225036621094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,-0.11,34444166,54.809776306152344,1.5912643671035767,53.743553161621094,1.5603092908859253,706.3165893554688,702.9384765625,0.0,0.0,3.3781280517578125,0.0,0.0,0.0,0.0,1.0662239789962769,0.03095514141023159,14.505348205566406,14.272017478942871,8.357549667358398,8.32166576385498,7.360976219177246,15.51351547241211,162622111744.0,0.3370376527309418,889.6888427734375,25.829885482788086,5.470897197723389,13279.8564453125,12743.7216796875,834.8790283203125,24.238618850708008,30.863128662109375,32.94194793701172,34.986976623535156,33.33073425292969,0.5825279951095581,0.06551742553710938,27.143909454345703,0.0010630995966494083,0.005195106845349073,0.0064622643403708935,0.00020405769464559853,81.36515045166016,82.45213317871094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,-0.12,35281525,58.65697479248047,1.6625407934188843,57.79227066040039,1.6380321979522705,764.9735717773438,760.7307739257812,0.0,0.0,4.242832183837891,0.0,0.0,0.0,0.0,0.8647040128707886,0.02450869046151638,14.40883731842041,14.235241889953613,8.635639190673828,8.59284782409668,3.8471999168395996,7.019186019897461,172058509312.0,0.34091296792030334,863.1980590820312,24.46600914001465,5.0168867111206055,14143.0546875,13548.2626953125,804.5411376953125,22.803468704223633,29.98057746887207,32.744544982910156,34.831764221191406,32.54483413696289,-26.490751266479492,-2.977532148361206,27.217227935791016,0.0011533467331901193,0.005608930718153715,0.006982787512242794,0.0002205099881393835,80.63417053222656,77.90007019042969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,-0.16,36139228,58.82185745239258,1.6276456117630005,57.799598693847656,1.5993590354919434,823.7954711914062,818.5303955078125,0.0,0.0,5.265088081359863,0.0,0.0,0.0,0.0,1.0222560167312622,0.028286602348089218,13.606501579284668,13.410979270935059,8.866941452026367,8.816516876220703,0.16487999260425568,0.2810955047607422,167081476096.0,0.3520549237728119,833.9411010742188,23.075786590576172,4.99122428894043,14976.9951171875,14323.3818359375,775.1192016601562,21.44814109802246,29.001985549926758,32.51093673706055,34.648223876953125,31.72615623474121,-29.256959915161133,-3.3893704414367676,27.25522804260254,0.001243063947185874,0.006016839295625687,0.007496924139559269,0.0002370208821957931,79.99625396728516,77.45308685302734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,-7.77,37017769,59.23222351074219,1.600102424621582,57.76295852661133,1.5604116916656494,883.0276489257812,876.2933349609375,0.0,0.0,6.734352111816406,0.0,0.0,0.0,0.0,1.469264030456543,0.0396907776594162,13.281670570373535,13.0091552734375,9.069150924682617,9.007881164550781,0.4103679955005646,0.6976485252380371,169592864768.0,0.3492612838745117,817.2771606445312,22.077970504760742,4.819054126739502,15794.2734375,15081.4267578125,758.044921875,20.477867126464844,28.38886070251465,32.268489837646484,34.45424270629883,31.158130645751953,-16.663936614990234,-1.998215913772583,27.272411346435547,0.0013323075836524367,0.0064235576428473,0.008009456098079681,0.0002535905223339796,78.91571044921875,75.27225494384766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,-0.26,37917653,72.865966796875,1.9216898679733276,71.49922943115234,1.8856450319290161,955.8936157226562,947.79248046875,0.0,0.0,8.101093292236328,0.0,0.0,0.0,0.0,1.3667409420013428,0.036044977605342865,15.249831199645996,15.026216506958008,9.35827350616455,9.288528442382812,13.633744239807129,23.01744270324707,179172491264.0,0.40668052434921265,830.5078735351562,21.902935028076172,4.635242462158203,16624.78125,15839.0693359375,757.6419067382812,19.981245040893555,28.519657135009766,32.057979583740234,34.2788200378418,31.124380111694336,13.230719566345215,1.6188740730285645,27.321063995361328,0.001423983252607286,0.006842229515314102,0.00853643286973238,0.0002702202182263136,77.0168228149414,68.8534164428711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,0.0,38839399,82.35206604003906,2.1203227043151855,80.8608169555664,2.081927537918091,1038.2457275390625,1028.6533203125,0.0,0.0,9.592341423034668,0.0,0.0,0.0,0.0,1.4912480115890503,0.0383952371776104,16.780773162841797,16.55411148071289,9.698540687561035,9.620445251464844,9.486096382141113,13.018560409545898,185632047104.0,0.4436306357383728,822.4067993164062,21.174549102783203,4.4303059577941895,17447.1875,16579.123046875,740.0547485351562,19.05422592163086,28.270002365112305,31.85677146911621,34.095924377441406,30.601484298706055,-8.101119995117188,-0.9754419326782227,27.373533248901367,0.001517285592854023,0.007262785919010639,0.009066984057426453,0.00028691254556179047,74.8964614868164,65.15223693847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,-0.11,39776936,93.69580841064453,2.3555309772491455,91.97006225585938,2.312145471572876,1131.9415283203125,1120.6234130859375,0.0,0.0,11.318084716796875,0.0,0.0,0.0,0.0,1.7257440090179443,0.043385542929172516,17.979328155517578,17.737157821655273,10.082938194274902,9.995851516723633,11.343744277954102,13.77469253540039,194685255680.0,0.48126813769340515,809.3849487304688,20.34809684753418,4.157402515411377,18256.572265625,17294.8125,715.6891479492188,17.99256706237793,27.759763717651367,31.649681091308594,33.89844512939453,29.8882999420166,-13.02182388305664,-1.5833795070648193,27.416858673095703,0.0016127116978168488,0.00768234534189105,0.009598728269338608,0.00030367131694220006,73.38996124267578,66.00981140136719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,-0.1,40730489,98.62022399902344,2.4212875366210938,96.5720443725586,2.3710014820098877,1230.561767578125,1217.195556640625,0.0,0.0,13.366260528564453,0.0,0.0,0.0,0.0,2.0481760501861572,0.05028606578707695,18.518951416015625,18.241670608520508,10.464991569519043,10.367680549621582,4.9244160652160645,5.255746841430664,193277591552.0,0.5102517604827881,1137.913818359375,27.93764305114746,5.887458801269531,19394.486328125,18334.10546875,1039.2935791015625,25.516353607177734,36.641658782958984,31.904706954956055,34.21022415161133,40.39255905151367,328.5289001464844,40.58993911743164,27.558012008666992,0.0017087818123400211,0.0081619992852211,0.010191282257437706,0.0003205015091225505,72.0358657836914,65.370849609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,-0.12,41700283,103.02069091796875,2.470503330230713,101.00182342529297,2.4220895767211914,1333.58251953125,1318.197265625,0.0,0.0,15.385125160217285,0.0,0.0,0.0,0.0,2.0188639163970947,0.04841367155313492,18.196937561035156,17.944366455078125,10.820155143737793,10.71430778503418,4.400464057922363,4.462027549743652,202148970496.0,0.5096275806427002,1282.9752197265625,30.766582489013672,6.346682071685791,20677.462890625,19514.060546875,1179.95458984375,28.296079635620117,39.466983795166016,32.28858184814453,34.67496871948242,43.9525032043457,145.06137084960938,12.748014450073242,27.727392196655273,0.0018042129231616855,0.008682316169142723,0.010824090801179409,0.0003375615051481873,70.45407104492188,61.511512756347656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,-0.16,42686547,126.30540466308594,2.958904266357422,123.89449310302734,2.9024248123168945,1459.8878173828125,1442.091796875,0.0,0.0,17.796035766601562,0.0,0.0,0.0,0.0,2.410912036895752,0.05647943541407585,20.16460609436035,19.897184371948242,11.27208423614502,11.156673431396484,23.284719467163086,22.601985931396484,210342264832.0,0.6004756689071655,1386.7581787109375,32.48700714111328,6.592864990234375,22064.220703125,20774.51171875,1260.4527587890625,29.52810287475586,41.18771743774414,32.733089447021484,35.20051574707031,45.99269485473633,103.78291320800781,8.089232444763184,27.907424926757812,0.00190381717402488,0.009231643751263618,0.011490581557154655,0.0003551207482814789,69.69174194335938,65.19047546386719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,-0.29,43689508,139.50680541992188,3.1931419372558594,135.6559295654297,3.1050002574920654,1599.39453125,1577.7476806640625,0.0,0.0,21.646900177001953,0.0,0.0,0.0,0.0,3.8508639335632324,0.08814162015914917,20.965253829956055,20.561735153198242,11.745766639709473,11.61340618133545,13.20139217376709,10.451960563659668,220907880448.0,0.6315156817436218,1483.9383544921875,33.965553283691406,6.7174530029296875,23548.158203125,22118.9453125,1344.4315185546875,30.772411346435547,42.67808151245117,33.220916748046875,35.774234771728516,47.816776275634766,97.18016052246094,7.007718086242676,28.095685958862305,0.0020049517042934895,0.009809613227844238,0.012187951244413853,0.0003733862831722945,69.37003326416016,67.92109680175781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,-0.29,44716018,134.2965850830078,3.003321886062622,129.9730682373047,2.9066333770751953,1733.6912841796875,1707.7208251953125,0.0,0.0,25.970420837402344,0.0,0.0,0.0,0.0,4.323520183563232,0.0966883972287178,21.55653190612793,21.073728561401367,12.174992561340332,12.024232864379883,-5.210207939147949,-3.734731674194336,219512012800.0,0.6117960810661316,1545.266357421875,34.55733108520508,7.039552211761475,25093.42578125,23529.9140625,1410.9697265625,31.55401039123535,44.33184051513672,33.7416877746582,36.37224578857422,49.288368225097656,61.327999114990234,4.13278341293335,28.296630859375,0.0021034979727119207,0.010401726700365543,0.012897727079689503,0.0003925026976503432,69.35028076171875,69.2515869140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,-0.09,45766631,135.74752807617188,2.966081142425537,132.3180389404297,2.891146659851074,1869.438720703125,1840.038818359375,0.0,0.0,29.39992332458496,0.0,0.0,0.0,0.0,3.429503917694092,0.07493459433317184,20.086965560913086,19.750032424926758,12.533469200134277,12.372262001037598,1.450943946838379,1.0804057121276855,230981042176.0,0.5876998901367188,1593.83642578125,34.825294494628906,6.9002909660339355,26687.259765625,24988.00390625,1458.0888671875,31.85921287536621,44.69123458862305,34.24273681640625,36.97408676147461,50.44365310668945,48.57011032104492,3.143155574798584,28.463598251342773,0.002200583228841424,0.01100454106926918,0.013617676682770252,0.0004125522100366652,67.92388153076172,58.77016067504883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,-0.34,46841911,132.82000732421875,2.8354949951171875,129.33563232421875,2.7611091136932373,2002.2587890625,1969.37451171875,0.0,0.0,32.88429260253906,0.0,0.0,0.0,0.0,3.484368085861206,0.07438569515943527,19.374149322509766,19.047494888305664,12.834067344665527,12.663723945617676,-2.927527904510498,-2.156597375869751,233741795328.0,0.5682339072227478,1634.6934814453125,34.898094177246094,6.993587017059326,28321.953125,26489.876953125,1501.87353515625,32.06260299682617,45.21461868286133,34.729156494140625,37.56772232055664,51.26099395751953,40.857086181640625,2.5634407997131348,28.612346649169922,0.0022959078196436167,0.011615882627665997,0.014345345087349415,0.0004335546400398016,66.00643920898438,53.30883026123047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,-0.03,47942438,147.17555236816406,3.069838762283325,141.99844360351562,2.961852788925171,2149.434326171875,2111.372802734375,0.0,0.0,38.061397552490234,0.0,0.0,0.0,0.0,5.177103042602539,0.10798580944538116,21.05219078063965,20.57130241394043,13.18653392791748,12.999799728393555,14.355544090270996,10.808265686035156,241295491072.0,0.6099390983581543,1702.54345703125,35.51224136352539,7.055844783782959,30024.498046875,28045.244140625,1555.367919921875,32.442405700683594,46.32772445678711,35.22929382324219,38.162906646728516,52.265445709228516,67.84998321533203,4.150629043579102,28.771507263183594,0.0023934822529554367,0.012248951941728592,0.015097901225090027,0.00045546735054813325,64.9025650024414,58.67020797729492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,0.05,49068804,143.90359497070312,2.932690143585205,137.8470001220703,2.8092596530914307,2293.337890625,2249.2197265625,0.0,0.0,44.11798858642578,0.0,0.0,0.0,0.0,6.056591987609863,0.12343060225248337,20.429847717285156,19.852996826171875,13.486572265625,13.280765533447266,-3.271951913833618,-2.2231638431549072,251432419328.0,0.5723351240158081,1750.4210205078125,35.672786712646484,6.961794853210449,31774.91796875,29651.763671875,1606.517333984375,32.74009704589844,46.9206428527832,35.719600677490234,38.75315475463867,53.086605072021484,47.87750244140625,2.8121113777160645,28.919876098632812,0.0024893779773265123,0.012895633466541767,0.015863196924328804,0.0004781853931490332,64.2327651977539,60.32064437866211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
