Indicator,Slope,Intercept,R-Value,P-Value,Standard Error
population,3.1100650256314447e-09,-0.42229674245243126,0.8512064223469857,6.620903671516282e-49,1.4794471450496127e-10
co2,0.00013053681582810188,-0.27672778793585195,0.8041879263442051,8.396165971693478e-40,7.443572878023926e-06
co2_per_capita,0.025912665509920173,-0.29118981572077196,0.5251370871068797,1.956928239184233e-13,0.0032398382203347475
coal_co2,0.0003117560114496756,-0.27531727602448636,0.5845531405787721,5.814284896810129e-17,3.33846895433905e-05
coal_co2_per_capita,-0.01685084198670023,0.15547647247482535,-0.1558422750139915,0.04242169706957386,0.008240295249711111
cumulative_co2,2.5586633747120198e-06,-0.26669920952047566,0.9190641737208005,1.779570779519016e-58,9.272961336114986e-08
cumulative_coal_co2,5.6913352765893525e-06,-0.32264432230047524,0.8809730853530191,1.3166470822227907e-50,2.495857463040279e-07
cumulative_flaring_co2,0.0004872223710727313,-0.17561813853018832,0.9039778110938885,1.5542280584898558e-27,2.7544644575686e-05
cumulative_gas_co2,1.3292189728006083e-05,-0.14853046950231005,0.919425998542401,3.573452824936303e-45,5.49630741338679e-07
cumulative_oil_co2,6.473319285947862e-06,-0.1984834375216761,0.9212564165798706,2.4669793460832836e-47,2.5940913528524407e-07
flaring_co2,0.009854609547752132,-0.011673624513615699,0.5983096903768385,2.8511011473629467e-08,0.0015773951767754741
flaring_co2_per_capita,0.5210496717284668,0.24723948761186693,0.12366335266354844,0.30070035557755725,0.49973835786332277
gas_co2,0.0005627357854181926,-0.23147292820294735,0.8548758687929572,7.218931680382069e-41,2.917886764003982e-05
gas_co2_per_capita,0.13187868687166915,-0.2313084086096298,0.7241764872871826,7.231765698268183e-24,0.010729424110589246
oil_co2,0.00029986269187298585,-0.26228158787514666,0.8017015521792967,7.646294577573987e-31,1.96082627805823e-05
oil_co2_per_capita,0.059489608908711245,-0.2148405671261123,0.6495474659073313,1.524745874711933e-20,0.00553985870824717
share_global_co2,-0.013748212470115533,0.44844889728132914,-0.4548322737037741,4.6377156915733757e-10,0.002076882147502715
share_global_coal_co2,-0.017459947768028544,0.48991006237523904,-0.5342847137579596,6.207415509961365e-14,0.002131222419060066
share_global_cumulative_co2,0.0048105242192234,-0.08675200697060845,0.15064101378101877,0.04989867351638479,0.0024356232043064416
share_global_cumulative_coal_co2,0.004078386410507428,-0.05698829649054326,0.10978609685227282,0.15410336413284,0.0028487426076111073
co2_growth_abs,-0.000380843278577943,0.04957218860163705,-0.15913969860460353,0.040565067784293314,0.00018449119950217837
co2_growth_prct,-0.012185028429826236,0.09193186720862594,-0.28202722144570813,0.00020333188063950932,0.0032075977130180708
gdp,5.758289476257552e-14,-0.2034733997965735,0.9049370115402149,4.087383110656565e-63,2.108041769440951e-15
co2_per_gdp,-0.47013362039508044,0.41573192577019324,-0.5444041859171111,2.8592676502960345e-14,0.056393393525280736
co2_including_luc,0.00016118528290342142,-0.4699858347833763,0.7764609309965261,1.6040463193974775e-35,1.0092660995580201e-05
co2_including_luc_per_capita,-0.031858610968554656,0.8030758850442179,-0.5353717109183302,5.403206125979771e-14,0.0038777192982386776
