,precision,recall,f1-score,support
Center,0.9642857142857143,1.0,0.9818181818181818,27.0
Donut,1.0,0.9473684210526315,0.972972972972973,19.0
Edge-loc,0.9230769230769231,0.48,0.631578947368421,25.0
Edge-ring,1.0,1.0,1.0,24.0
Loc,0.967741935483871,0.967741935483871,0.967741935483871,31.0
Near-Full,1.0,1.0,1.0,25.0
None,0.5,0.04,0.07407407407407407,25.0
Random,0.96875,1.0,0.9841269841269841,31.0
Scratch,0.43548387096774194,0.9642857142857143,0.6,28.0
accuracy,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.8297872340425532
macro avg,0.8621487159793612,0.8221551189802463,0.8013681217605004,235.0
weighted avg,0.8588827053180176,0.8297872340425532,0.8040205933598992,235.0
